[2026-06-20 23:09:06] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-19
正在获取论文...
[ACM] 2026-6-20 | Understanding Deception: A qualitative study of children's interactions with deceptive design in digital games
[ACM] 2026-6-20 | Linking Occupant Preferences, Space Selection Behavior, and Experienced IEQ to Well-Being in a Flexible Workplace
[ACM] 2026-6-20 | Simulation of Temperature in a Naturally Ventilated Office Space Using Machine Learning and Comparison with Traditional Whole-Building Temperature Modelling
[ACM] 2026-6-20 | FlowGuard: Flow Matching for Identity-Independent Detection of Data-Free Model Stealing Attacks on Energy System Intrusion Detection Systems
[ACM] 2026-6-20 | Jumping over Proprietary Gaps - Assessing security features in MCUs for Smart Inverters
[ACM] 2026-6-20 | Designing Interactive, Adaptive and Immersive Spaces for Children with Neuro-developmental Disorders and Children with Special Educational Needs
[IEEE] 2026-6-19 | Height-Aware Navigation Framework for Single-DOF Deformable Mobile Robots Based on 3D Encoding_supp1-3703981.pdf
[IEEE] 2026-6-19 | Multi-Axis Force and Moment Estimation Using Spatially Distributed Optical Sensing on the Finger Back
[IEEE] 2026-6-19 | External Data Extraction Attacks against Retrieval-Augmented Large Language Models_supp1-3705326.pdf
[IEEE] 2026-6-19 | How Many Trees in a Random Forest? A Revisited Approach with Plateau Search and Optuna Integration
[IEEE] 2026-6-19 | CROS 2026 Cover Page
[IEEE] 2026-6-19 | Evaluating Visual Decision Support: How Does Preference Elicitation Shape Metric Sensitivity?
[IEEE] 2026-6-19 | <i>Septum</i>
                    Ring-Like Miniaturized Dual-Antenna Sensor for Bilateral Temperature-Based Nasal Breath Monitoring
[IEEE] 2026-6-19 | Topology-Aware Distribution System State Estimation Using Bayesian Model-Agnostic Meta-Learning
[IEEE] 2026-6-19 | Wireless Firework Waste Burnout Module using ESP32 and Relay Control
[IEEE] 2026-6-19 | Transformer-based Spatio-Temporal Deep Learning Framework for Real-Time Urban Flood Early Warning and Risk Prediction
