[2026-06-21 23:13:33] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-20
正在获取论文...
[ACM] 2026-6-20 | Covariates Are the Key to Accurate Probabilistic Building Energy Forecasting with Time Series Foundation Models
[ACM] 2026-6-20 | Reflecting on Successes and Challenges when Conducting Research Studies in Schools
[ACM] 2026-6-20 | Differential Voltage Analysis Based Data-driven Approach for Battery Module SOH Estimation
[ACM] 2026-6-20 | Physics-Informed Surrogate Modeling for Degradation-Aware Battery Scheduling in Residential PV Systems
[ACM] 2026-6-20 | Designing for Curiosity: Playful Physical Interventions in Everyday Spaces Across Cultures
[ACM] 2026-6-20 | The Dream Robot: A Social Robot for Delivering Medical Hypnosis to Children in Hospitals
[ACM] 2026-6-20 | "Fauna City": A data-literacy Activity for Introducing Children to Digital Footprints and Data Types
[ACM] 2026-6-20 | Investigation of Spatial Variability in DNN-Based Contingency Analysis for Power-Security Evaluation in Large-Scale Electrical Grids
[ACM] 2026-6-20 | Green, Trust-Minimizing, and Sybil-Resistant? Rethinking How Blockchains Agree from an Energy Perspective
[ACM] 2026-6-20 | Locational Pricing for Generative-AI Services via Token-Flow Market Clearing
[ACM] 2026-6-20 | Parse: Teaching How AI Learns Through Tangible Unplugged Modules
[ACM] 2026-6-20 | Milfoil Milly: Supporting Youth Maker Identity Development Through Sustainability-Focused Co-Design
[ACM] 2026-6-20 | MathTarea: Mathematics Homework Support for Bilingual Students
[ACM] 2026-6-20 | Cultivating Computational Empowerment in K-9 Education through Critical Hope and Transformative Agency
[ACM] 2026-6-20 | STEM Learning in TTRPGs: What Is Being Assessed? How Hair Math Uses Storytelling and Play to Reimagine STEM Assessment
[ACM] 2026-6-20 | From Parental Expectations to Children’s Initial Understanding of Social Robots: An Exploratory Parent-Child Study
[ACM] 2026-6-20 | OccuReward: LLM-Guided Occupant-Centric Reward Shaping for Demographic Equity in Grid-Interactive Buildings
[ACM] 2026-6-20 | From Static Surveys to Living Agents: A Generative LLM-Agent Workflow for Residential Energy Simulation
[ACM] 2026-6-20 | HEMS-Arena: An Open-Source Modular Framework for Reproducible Evaluation of Residential Energy Management Strategies
[ACM] 2026-6-20 | Decision-Focused Learning for Energy Arbitrage: From Probabilistic Forecasting to Risk-Averse Stochastic Optimization
[ACM] 2026-6-20 | CuddleConnect: Designing Child-Initiated Emotive Communication and Mediated Hugs for Remote Parent–Child Connection
[ACM] 2026-6-20 | Children’s Trust in AI: Preliminary Validation of the K-AI Questionnaire in a New Age Group
[ACM] 2026-6-20 | Interactive MathsTale: A Generative AI-Powered Multimodal Storytelling System with Hands-on Activities for Children’s Mathematical Problem Solving
[ACM] 2026-6-20 | Mapping out the invisible needs: using creative methods to meaningfully involve children and young people in exploring their condition management
[ACM] 2026-6-20 | LLM-GridEval: Measuring the Evaluation Validity Gap in Smart Grid Security with Adaptive LLM Attackers
[ACM] 2026-6-20 | Designing Ethical and Rights-Respecting Child-Centred AI for Learning
[ACM] 2026-6-20 | A Child as a Project Member - Project Managerial Challenges in Intergenerational Teams
[ACM] 2026-6-20 | The role of touch in children's engagement with nature: implications for design
[ACM] 2026-6-20 | Assessing Explanations of Graph Neural Networks for Dynamic Stability Assessment of Power Grids
[ACM] 2026-6-20 | What LLM-Simulated Users Can and Cannot Tell Us About Conversational Energy Management Systems
[ACM] 2026-6-20 | Bit:chat: A Tangible Approach to Teach Children about Everyday Secure Communication and Cryptography
[ACM] 2026-6-20 | Proceedings of the 25th Annual ACM Interaction Design and Children Conference
[ACM] 2026-6-20 | UNITE: Exposing Children to the Concept of Interconnectedness in a Museum Context
[ACM] 2026-6-20 | Exploring AI Companions Together: A Structured Family Co-Investigation of Character.AI
[ACM] 2026-6-20 | Beyond Prototypes: Overcoming the UBEM Data Bottleneck with Large Multimodal Models
[ACM] 2026-6-20 | To Defer or To Shift? The Role of AI Data Center Flexibility on Grid Interconnection
[ACM] 2026-6-20 | Exploring the Potential of Physics-Informed Neural Networks for Building Energy Modeling with Component-Level Calibration
[ACM] 2026-6-20 | BrickTrace: Separating Ontology Reasoning from Building Grounding in Knowledge Graph Question Answering
[ACM] 2026-6-20 | GOOSEIDRS: Intrusion Detection and Automated Response for IEC61850 GOOSE Masquerade Attacks
[ACM] 2026-6-20 | An Agentic Platform for End-to-End Fault Detection and Diagnosis in Building Energy Systems: A Pilot Study in a Hong Kong Government Office Building
[ACM] 2026-6-20 | Intervals All the Way Down: Computational Music Making for Learners with MusicLOGO 2.0
[ACM] 2026-6-20 | Co-designing tangible emotions: from everyday objects to interactive artifacts supporting socio-emotional learning
[ACM] 2026-6-20 | Relating Cyberattacks for Disrupting Electricity Spot Markets and Manipulation in Energy Derivative Markets
[ACM] 2026-6-20 | Toward a Practical AI-Enabled MPC Framework: A Case Study of a Passive Displacement Cooling System
[ACM] 2026-6-20 | Using Reified Knowledge Graph to Enhance RAG Performance on Emerging Material Science
[ACM] 2026-6-20 | An AI Agent Framework for Real-World Air Conditioning System Optimization with Long-Term Deployment
[ACM] 2026-6-20 | Uncertainty-Aware Transfer Learning for Cross-Building Energy Forecasting: Toward Robust and Scalable District-Level Energy Management
[ACM] 2026-6-20 | Behaviour-based thermal control in Indian Homes
[ACM] 2026-6-20 | Toward Sustainable Ubiquitous AI
[ACM] 2026-6-20 | Bringing Inclusive Design Practices Beyond Academia: Launching the Co-design with Kids Toolkit
[ACM] 2026-6-20 | Where Does AI Leave a Footprint? Children’s Reasoning About AI’s Environmental Costs
[ACM] 2026-6-20 | Materi-kit: A Home-Based Creative Play Toolkit for Preschool Children's Engagement with Material Circularity
[ACM] 2026-6-20 | NOVIX: Designing Non-Visual Extended Reality with Children
[ACM] 2026-6-20 | Designing Judgment Scaffolds for Influencer-Driven Misinformation: A Simulated Feed Study with Adolescents
[ACM] 2026-6-20 | Co-designing AI-mediated Paired Reading for Children in Swedish Classrooms
[ACM] 2026-6-20 | The Transparency Trade-off in AI Governance Simulations: Balancing Adolescent Civic Learning and Trust
[ACM] 2026-6-20 | A Good Teacher for Kids? Exploring Children’s Perceptions of Mirrly, a Social Robot for Vision Health Literacy Education
[ACM] 2026-6-20 | "Are you biased right now, AI?": Investigating Supporting Youths' Systematic Evaluation of GenAI
[ACM] 2026-6-20 | Values Inquiry through Photovoice: Children as Value Ethnographers in Middle School Design-based Learning
